date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:16	98263/98263	---M-Z	200	added ('OK')	text/html	etag:%221712346463%22	https://www.dea.gov/fugitives/nemesio-oseguera-cervantes	E:/Paginas%20WEB/DEA%202/www.dea.gov/fugitives/nemesio-oseguera-cervantes.html	(from )
16:59:17	688/688	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Feb%202024%2021:56:11%20GMT	https://www.dea.gov/robots.txt		(from )
16:59:17	4779/4779	---M-Z	200	added ('OK')	application/javascript	etag:%22018e0c4722185d16d75ff4b43e69f1f2%22	https://s.pinimg.com/ct/core.js	E:/Paginas%20WEB/DEA%202/s.pinimg.com/ct/core.js	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:18	33762/33762	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://www.dea.gov/sites/default/files/2021-04/usdea_logo.png	E:/Paginas%20WEB/DEA%202/www.dea.gov/sites/default/files/2021-04/usdea_logo.png	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:18	2328/2328	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2015:56:41%20GMT	https://www.dea.gov/themes/custom/ohana/src/favicon.png	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/custom/ohana/src/favicon.png	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:18	1035/1035	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:35:26%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/ajax-progress.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/ajax-progress.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:18	484/484	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:54%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/align.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/align.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:18	611/611	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:23%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/autocomplete-loading.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/autocomplete-loading.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:19	95/95	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:35:26%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/fieldgroup.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/fieldgroup.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:19	222/222	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:35:26%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/container-inline.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/container-inline.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:19	306/306	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:36:00%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/clearfix.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/clearfix.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:19	104/104	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:23%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/details.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/details.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:20	1359/1359	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:54%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/hidden.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/hidden.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:20	285/285	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:54%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/item-list.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/item-list.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:20	402/402	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:35:26%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/js.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/js.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:20	96/96	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:34:54%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/nowrap.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/nowrap.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
16:59:21	95/95	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2022:35:26%20GMT	https://www.dea.gov/themes/contrib/stable/css/system/components/position-container.module.css?sbfrb8	E:/Paginas%20WEB/DEA%202/www.dea.gov/themes/contrib/stable/css/system/components/position-container.modulee71b.css	(from https://www.dea.gov/fugitives/nemesio-oseguera-cervantes)
